date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2008-01-18,5265.03,5414.47,341111.61,000300.XSHG,63,沪深300
2008-01-21,5265.03,5145.73,0.0,000300.XSHG,0,沪深300
2008-12-03,1952.67,1952.67,324143.22,000300.XSHG,166,沪深300
2008-12-04,1952.67,1982.93,329166.38,000300.XSHG,166,沪深300
2008-12-05,1952.67,2013.18,334187.88,000300.XSHG,166,沪深300
2008-12-08,1952.67,2095.04,347776.64,000300.XSHG,166,沪深300
2008-12-09,1952.67,2040.85,338781.1,000300.XSHG,166,沪深300
2008-12-10,1952.67,2096.39,348000.74,000300.XSHG,166,沪深300
2008-12-11,1952.67,2046.34,339692.44,000300.XSHG,166,沪深300
2008-12-12,1952.67,1960.38,325423.08,000300.XSHG,166,沪深300
2008-12-15,1952.67,1975.03,327854.98,000300.XSHG,166,沪深300
2008-12-16,1952.67,1994.45,331078.7,000300.XSHG,166,沪深300
2008-12-17,1952.67,2001.42,332235.72,000300.XSHG,166,沪深300
2008-12-18,1952.67,2045.1,339486.6,000300.XSHG,166,沪深300
2008-12-19,1952.67,2052.11,340650.26,000300.XSHG,166,沪深300
2008-12-22,1952.67,2017.55,334913.3,000300.XSHG,166,沪深300
2008-12-23,1952.67,1918.96,318547.36,000300.XSHG,166,沪深300
2008-12-24,1952.67,1887.08,0.0,000300.XSHG,0,沪深300
2009-01-05,1882.96,1882.96,312571.36,000300.XSHG,166,沪深300
2009-01-06,1882.96,1942.8,322504.8,000300.XSHG,166,沪深300
2009-01-07,1882.96,1931.18,320575.88,000300.XSHG,166,沪深300
2009-01-08,1882.96,1887.99,313406.34,000300.XSHG,166,沪深300
2009-01-09,1882.96,1918.36,318447.76,000300.XSHG,166,沪深300
2009-01-12,1882.96,1920.69,318834.54,000300.XSHG,166,沪深300
2009-01-13,1882.96,1876.19,311447.54,000300.XSHG,166,沪深300
2009-01-14,1882.96,1955.24,324569.84,000300.XSHG,166,沪深300
2009-01-15,1882.96,1954.87,324508.42,000300.XSHG,166,沪深300
2009-01-16,1882.96,1990.21,330374.86,000300.XSHG,166,沪深300
2009-01-19,1882.96,2012.46,334068.36,000300.XSHG,166,沪深300
2009-01-20,1882.96,2025.19,336181.54,000300.XSHG,166,沪深300
2009-01-21,1882.96,2021.71,335603.86,000300.XSHG,166,沪深300
2009-01-22,1882.96,2044.55,339395.3,000300.XSHG,166,沪深300
2009-01-23,1882.96,2032.68,337424.88,000300.XSHG,166,沪深300
2009-02-02,1882.96,2057.06,341471.96,000300.XSHG,166,沪深300
2009-02-03,1882.96,2108.91,350079.06,000300.XSHG,166,沪深300
2009-02-04,1882.96,2166.41,359624.06,000300.XSHG,166,沪深300
2009-02-05,1882.96,2150.97,357061.02,000300.XSHG,166,沪深300
2009-02-06,1882.96,2237.28,371388.48,000300.XSHG,166,沪深300
2009-02-09,1882.96,2296.67,381247.22,000300.XSHG,166,沪深300
2009-02-10,1882.96,2326.76,386242.16,000300.XSHG,166,沪深300
2009-02-11,1882.96,2331.14,386969.24,000300.XSHG,166,沪深300
2009-02-12,1882.96,2318.34,384844.44,000300.XSHG,166,沪深300
2009-02-13,1882.96,2399.06,398243.96,000300.XSHG,166,沪深300
2009-02-16,1882.96,2462.24,408731.84,000300.XSHG,166,沪深300
2009-02-17,1882.96,2385.29,395958.14,000300.XSHG,166,沪深300
2009-02-18,1882.96,2275.84,377789.44,000300.XSHG,166,沪深300
2009-02-19,1882.96,2298.41,381536.06,000300.XSHG,166,沪深300
2009-02-20,1882.96,2344.32,389157.12,000300.XSHG,166,沪深300
2009-02-23,1882.96,2410.48,400139.68,000300.XSHG,166,沪深300
2009-02-24,1882.96,2301.85,382107.1,000300.XSHG,166,沪深300
2009-02-25,1882.96,2304.25,382505.5,000300.XSHG,166,沪深300
2009-02-26,1882.96,2190.18,363569.88,000300.XSHG,166,沪深300
2009-02-27,1882.96,2140.49,355321.34,000300.XSHG,166,沪深300
2009-03-02,1882.96,2164.67,359335.22,000300.XSHG,166,沪深300
2009-03-03,1882.96,2142.15,355596.9,000300.XSHG,166,沪深300
2009-03-04,1882.96,2285.15,379334.9,000300.XSHG,166,沪深300
2009-03-05,1882.96,2304.92,382616.72,000300.XSHG,166,沪深300
2009-03-06,1882.96,2286.58,379572.28,000300.XSHG,166,沪深300
2009-03-09,1882.96,2202.53,365619.98,000300.XSHG,166,沪深300
2009-03-10,1882.96,2240.78,371969.48,000300.XSHG,166,沪深300
2009-03-11,1882.96,2220.38,368583.08,000300.XSHG,166,沪深300
2009-03-12,1882.96,2215.7,367806.2,000300.XSHG,166,沪深300
2009-03-13,1882.96,2205.42,366099.72,000300.XSHG,166,沪深300
2009-03-16,1882.96,2241.61,372107.26,000300.XSHG,166,沪深300
2009-03-17,1882.96,2322.4,385518.4,000300.XSHG,166,沪深300
2009-03-18,1882.96,2332.65,387219.9,000300.XSHG,166,沪深300
2009-03-19,1882.96,2382.56,395504.96,000300.XSHG,166,沪深300
2009-03-20,1882.96,2379.84,395053.44,000300.XSHG,166,沪深300
2009-03-23,1882.96,2439.4,404940.4,000300.XSHG,166,沪深300
2009-03-24,1882.96,2451.78,406995.48,000300.XSHG,166,沪深300
2009-03-25,1882.96,2401.33,398620.78,000300.XSHG,166,沪深300
2009-03-26,1882.96,2479.79,411645.14,000300.XSHG,166,沪深300
2009-03-27,1882.96,2498.93,414822.38,000300.XSHG,166,沪深300
2009-03-30,1882.96,2484.49,412425.34,000300.XSHG,166,沪深300
